2021-06-28T02:34:58-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error KAMINO: "Skip duplicate request GET /kdd/v1/user/status"
2021-06-28T02:35:00-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error KAMINO: {"stack":"Error: connect ECONNREFUSED 127.0.0.1:49774\n    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1113:14)","message":"connect ECONNREFUSED 127.0.0.1:49774","errno":"ECONNREFUSED","code":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":49774}
2021-06-28T02:35:04-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error WD_SERVICE: REQUEST ERROR: {"stack":"Error: connect ECONNREFUSED 127.0.0.1:50001\n    at TCPConnectWrap.afterConnect [as oncomplete] (net.js:1113:14)","message":"connect ECONNREFUSED 127.0.0.1:50001","errno":"ECONNREFUSED","code":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":50001}
2021-06-28T02:35:05-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error 2100 in com.wdc.plugin.catalog: {"message":"connect ECONNREFUSED 127.0.0.1:50001","additionalData":{"version":"1.0.228"}}
2021-06-28T02:35:06-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error 2100 in com.wdc.plugin.catalog: {"message":"Value cannot be null.\r\nParameter name: dllName","additionalData":{"version":"1.0.228"}}
2021-06-28T02:35:08-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:08-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:08-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.paragon","version":"11.1.34","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.driveutility","version":"2.0.0.71","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:10-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error APP_CATALOG_SERVICE: Not valid delete request to App Catalog {"appId":"com.wdc.branded.security","version":"2.0.0.76","discoveryVersion":"4.3.327","osFamily":"WINDOWS_x64"}
2021-06-28T02:35:19-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error DAS_SERVICE: {"CorrelationId":"23a9b1b6-95a6-4999-93db-3ce0a889a0e7","StatusCode":404,"isConnectionError":false,"RequestInfo":{"url":"https://prod.wdckeystone.com/das/v2/dastype/USB_1058_25E1","method":"GET","headers":{"date":"Mon, 28 Jun 2021 06:35:18 GMT","content-type":"application/json;charset=UTF-8","transfer-encoding":"chunked","connection":"close","x-amzn-trace-id":"Root=1-60d96da6-02cbb00934acf6f543cd0218;"},"status":404,"error":"Not Found"},"fullResponse":{"timestamp":1624862118942,"status":404,"error":"Not Found","message":"/das/v2/dastype/USB_1058_25E1","path":"/das/v2/dastype/USB_1058_25E1"}}
2021-06-28T02:35:19-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error 420 in Portal: {"CorrelationId":"23a9b1b6-95a6-4999-93db-3ce0a889a0e7","StatusCode":404,"isConnectionError":false,"RequestInfo":{"url":"https://prod.wdckeystone.com/das/v2/dastype/USB_1058_25E1","method":"GET","headers":{"date":"Mon, 28 Jun 2021 06:35:18 GMT","content-type":"application/json;charset=UTF-8","transfer-encoding":"chunked","connection":"close","x-amzn-trace-id":"Root=1-60d96da6-02cbb00934acf6f543cd0218;"},"status":404,"error":"Not Found"},"fullResponse":{"timestamp":1624862118942,"status":404,"error":"Not Found","message":"/das/v2/dastype/USB_1058_25E1","path":"/das/v2/dastype/USB_1058_25E1"}}
