2021-06-30T08:21:12-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device added {"id":"6DF72413AB919214581D47BE67A64FCD","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"Storage Media","deviceId":"6DF72413AB919214581D47BE67A64FCD","_class":"com.wdc.portal.model.Device","type":"USB_054C_02A5","serial":"9B3001402280025114","capacity":"7801404928","firmware":"100","hasPassword":false,"isLocked":false,"volumes":[],"mountPoints":[],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/default_device.png","iconFromLocalCatalog":true,"isWDDevice":false}}}
2021-06-30T08:21:12-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"6DF72413AB919214581D47BE67A64FCD","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"Storage Media","deviceId":"6DF72413AB919214581D47BE67A64FCD","_class":"com.wdc.portal.model.Device","type":"USB_054C_02A5","serial":"9B3001402280025114","capacity":"7801404928","firmware":"100","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"7796162560","spaceAvailable":"0.32441156691324813","volumeName":"RABSHRED (D:)","fileSystemType":"","url":"RABSHRED (D:)","label":"RABSHRED (D:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"D:\\"},"id":"6DF72413AB919214581D47BE67A64FCD_RDpc"}],"mountPoints":[{"mountPoint":"D"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/default_device.png","iconFromLocalCatalog":true,"isWDDevice":false}}}
2021-06-30T08:38:29-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39835862424698637","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:38:34-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39829781702057171","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:38:40-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39816571856318816","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:38:43-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39811854054269402","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:42:59-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39809233053130838","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:43:04-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39799797449032009","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:43:09-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39798434528439958","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:43:13-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39796966767802366","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:44:04-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39793611886345004","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
2021-06-30T08:44:09-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device updated {"id":"DB1DF255BB90713DDD17189C2165B866","agentId":"driveagent.apps.wdc.com","context":{"model":{"name":"My Passport","deviceId":"DB1DF255BB90713DDD17189C2165B866","_class":"com.wdc.portal.model.Device","type":"USB_1058_25E1","serial":"WX71AA86EY8R","capacity":"1000170585600","firmware":"1021","hasPassword":false,"isLocked":false,"volumes":[{"readOnly":false,"isDriverInstallationRequired":false,"hasTimeMachineBackup":false,"capacity":"1000167440384","spaceAvailable":"0.39789208604432219","volumeName":"My Passport (E:)","fileSystemType":"","url":"My Passport (E:)","label":"My Passport (E:)","openAction":{"label":"Open","_class":"com.wdc.smb.action.OpenLocation","url":"E:\\"},"id":"DB1DF255BB90713DDD17189C2165B866_RTpc"}],"mountPoints":[{"mountPoint":"E"}],"icon":"file:///C:/Users/Jeffr/AppData/Roaming/WD%20Discovery/plugins/com.wdc.plugin.catalog/current/assets/devices/25E1.png","iconFromLocalCatalog":true,"isWDDevice":true}}}
