2023-05-23T17:55:51-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info Device deleted ["USB_1058_25E1_WX71AA86EY8R"]
2023-05-23T17:55:56-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:55:56-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 error OTA_SERVICE: {"stack":"Error: getaddrinfo ENOTFOUND prod-gateway.wdckeystone.com prod-gateway.wdckeystone.com:443\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (dns.js:57:26)","message":"getaddrinfo ENOTFOUND prod-gateway.wdckeystone.com prod-gateway.wdckeystone.com:443","errno":"ENOTFOUND","code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"prod-gateway.wdckeystone.com","host":"prod-gateway.wdckeystone.com","port":443,"CorrelationId":"6b5504ac-8895-4ae2-8ea4-ed18279ad45c","isConnectionError":true,"RequestInfo":{"url":"https://prod-gateway.wdckeystone.com/ota/ota/v1/version/deviceId/c1495128-b7d7-4c1d-ab05-61d9583d2a00","method":"POST"}}
2023-05-23T17:56:01-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:06-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:11-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:16-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:21-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:26-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:36-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:41-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:46-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:51-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:56:56-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:01-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:06-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:11-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:16-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:21-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:26-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:36-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:41-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:46-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:51-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:57:56-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:01-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:06-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:11-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:16-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:21-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:26-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:36-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:41-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:46-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:51-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:58:56-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:01-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:06-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:11-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:16-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:21-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:26-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
2023-05-23T17:59:31-04:00 ci=3a11f697-7362-4cb1-8ea9-2fa6d628f7b5 info CLOUD: not started
